,Instance,Clear,Start Time,End Time,Duration,Deaths
196,1,False,2022-01-16 17:53:38,2022-01-16 18:02:26,0:08:48,12
197,1,False,2022-01-16 23:03:00,2022-01-16 23:13:31,0:10:31,11
198,1,False,2022-01-16 23:16:02,2022-01-16 23:26:33,0:10:31,14
199,1,True,2022-01-16 23:27:28,2022-01-16 23:37:32,0:10:04,3
212,1,False,2022-01-21 18:21:31,2022-01-21 18:27:28,0:05:57,16
213,1,False,2022-01-21 18:28:10,2022-01-21 18:33:58,0:05:48,10
214,1,False,2022-01-21 18:35:04,2022-01-21 18:37:19,0:02:15,8
215,1,False,2022-01-21 18:37:50,2022-01-21 18:45:31,0:07:41,10
216,1,False,2022-01-21 18:47:45,2022-01-21 18:47:55,0:00:10,8
217,1,False,2022-01-21 18:48:24,2022-01-21 18:57:15,0:08:51,9
218,1,True,2022-01-21 18:58:45,2022-01-21 19:09:12,0:10:27,3
286,1,False,2022-01-28 18:36:57,2022-01-28 18:42:34,0:05:37,8
287,1,False,2022-01-28 18:43:30,2022-01-28 18:49:11,0:05:41,12
288,1,False,2022-01-28 18:50:40,2022-01-28 18:52:03,0:01:23,9
289,1,False,2022-01-28 18:52:55,2022-01-28 18:55:33,0:02:38,8
290,1,False,2022-01-28 18:56:43,2022-01-28 19:03:23,0:06:40,14
291,1,True,2022-01-29 17:05:17,2022-01-29 17:15:29,0:10:12,3
330,1,True,2022-02-04 18:23:01,2022-02-04 18:32:42,0:09:41,2
370,1,False,2022-02-11 18:28:37,2022-02-11 18:36:05,0:07:28,9
371,1,False,2022-02-11 18:37:07,2022-02-11 18:39:57,0:02:50,8
372,1,False,2022-02-11 18:40:23,2022-02-11 18:45:21,0:04:58,11
373,1,True,2022-02-11 18:47:01,2022-02-11 18:57:18,0:10:17,7
415,1,False,2022-02-18 18:00:25,2022-02-18 18:05:04,0:04:39,9
416,1,False,2022-02-18 18:05:58,2022-02-18 18:14:50,0:08:52,9
417,1,True,2022-02-18 18:16:02,2022-02-18 18:25:57,0:09:55,3
480,1,False,2022-02-25 18:03:59,2022-02-25 18:14:22,0:10:23,12
481,1,False,2022-02-25 18:14:56,2022-02-25 18:19:40,0:04:44,10
482,1,False,2022-02-25 18:20:06,2022-02-25 18:24:44,0:04:38,8
483,1,False,2022-02-25 18:26:50,2022-02-25 18:35:30,0:08:40,8
484,1,True,2022-02-25 18:36:22,2022-02-25 18:46:30,0:10:08,4
515,1,False,2022-03-04 18:23:03,2022-03-04 18:31:54,0:08:51,8
516,1,False,2022-03-04 18:32:52,2022-03-04 18:42:45,0:09:53,9
517,1,False,2022-03-04 18:44:39,2022-03-04 18:46:34,0:01:55,7
518,1,False,2022-03-04 18:47:57,2022-03-04 18:56:37,0:08:40,10
519,1,True,2022-03-04 18:57:13,2022-03-04 19:06:22,0:09:09,0
591,1,False,2022-03-18 18:17:43,2022-03-18 18:22:28,0:04:45,8
592,1,True,2022-03-18 18:24:14,2022-03-18 18:33:27,0:09:13,2
626,1,False,2022-03-25 18:24:59,2022-03-25 18:33:00,0:08:01,11
627,1,False,2022-03-25 18:36:10,2022-03-25 18:36:26,0:00:16,7
628,1,True,2022-03-25 18:37:09,2022-03-25 18:46:14,0:09:05,0
661,1,True,2022-04-01 18:34:50,2022-04-01 18:43:45,0:08:55,2
695,1,False,2022-04-08 18:55:54,2022-04-08 19:04:34,0:08:40,11
696,1,True,2022-04-08 19:05:43,2022-04-08 19:15:21,0:09:38,3
845,1,False,2022-04-29 18:47:05,2022-04-29 18:54:38,0:07:33,13
846,1,False,2022-04-29 18:56:16,2022-04-29 19:05:13,0:08:57,11
847,1,False,2022-04-29 19:07:28,2022-04-29 19:07:57,0:00:29,8
848,1,True,2022-04-29 19:09:57,2022-04-29 19:19:36,0:09:39,5
896,1,True,2022-05-03 20:13:26,2022-05-03 20:22:54,0:09:28,2
1087,1,False,2022-05-27 18:18:36,2022-05-27 18:22:02,0:03:26,8
1088,1,False,2022-05-27 18:22:38,2022-05-27 18:25:31,0:02:53,8
1089,1,False,2022-05-27 18:26:35,2022-05-27 18:33:11,0:06:36,9
1090,1,True,2022-05-27 18:34:51,2022-05-27 18:43:26,0:08:35,1
200,2,False,2022-01-17 00:04:50,2022-01-17 00:05:56,0:01:06,9
201,2,False,2022-01-17 00:08:01,2022-01-17 00:09:28,0:01:27,8
202,2,False,2022-01-17 00:10:40,2022-01-17 00:12:00,0:01:20,8
203,2,False,2022-01-17 00:14:52,2022-01-17 00:15:58,0:01:06,10
204,2,False,2022-01-17 00:16:28,2022-01-17 00:17:55,0:01:27,8
205,2,False,2022-01-17 00:18:27,2022-01-17 00:19:53,0:01:26,8
206,2,False,2022-01-17 00:21:11,2022-01-17 00:22:19,0:01:08,8
207,2,False,2022-01-17 00:22:53,2022-01-17 00:24:15,0:01:22,9
208,2,False,2022-01-17 00:24:56,2022-01-17 00:26:23,0:01:27,8
209,2,False,2022-01-17 00:27:45,2022-01-17 00:30:19,0:02:34,8
210,2,False,2022-01-17 00:30:56,2022-01-17 00:32:25,0:01:29,8
219,2,False,2022-01-21 19:29:02,2022-01-21 19:29:30,0:00:28,8
220,2,False,2022-01-21 19:30:09,2022-01-21 19:31:05,0:00:56,9
221,2,False,2022-01-21 19:31:35,2022-01-21 19:32:42,0:01:07,8
222,2,False,2022-01-21 19:34:03,2022-01-21 19:34:53,0:00:50,8
223,2,False,2022-01-21 19:35:26,2022-01-21 19:36:53,0:01:27,8
224,2,False,2022-01-21 19:39:33,2022-01-21 19:41:15,0:01:42,8
225,2,False,2022-01-21 19:42:08,2022-01-21 19:43:41,0:01:33,9
226,2,False,2022-01-21 19:44:47,2022-01-21 19:46:15,0:01:28,8
227,2,False,2022-01-21 19:47:50,2022-01-21 19:49:17,0:01:27,8
228,2,False,2022-01-21 19:49:51,2022-01-21 19:51:19,0:01:28,8
229,2,False,2022-01-21 19:52:27,2022-01-21 19:54:37,0:02:10,8
